OTU,Cow_01,Cow_02,Cow_03,Cow_04,Cow_05,Cow_06,Cow_07,Cow_08,Cow_09,Cow_10
OTU_074_Dorea_sp3,0.00459944,0.02336337,0.00211455,0.01967058,0.00752996,0.00194418,0.00412939,0.01339768,0.00429694,0.01702605
OTU_075_Lachnospira_sp3,0.00276197,0.00693056,0.0007141,0.0046196,0.01617651,0.00115756,0.02377589,0.00421296,0.00158557,0.02849574
OTU_076_Eubacterium_sp3,0.0062492,0.00106041,0.03488635,0.0103222,0.01483728,0.0032541,0.00427805,0.00082758,0.00643643,0.00495476
OTU_077_Anaerostipes_sp3,0.02334382,0.01959978,0.02977833,0.01607196,0.02094936,0.00419062,0.01838664,0.01351568,0.00504784,0.00246532
OTU_078_Butyricicoccus_sp3,0.00601189,0.01023576,0.00376859,0.01019719,0.00571377,0.00417448,0.03540603,0.01587717,0.02752714,0.00446708
OTU_079_Oscillospira_sp3,0.01808601,0.02168152,0.01835439,0.00493332,0.00534006,0.01073825,0.00568593,0.01349673,0.00808906,0.0135769
OTU_080_Dialister_sp3,0.00944328,0.01166287,0.01362139,0.0016732,0.00208636,0.00582785,0.00250555,0.00715773,0.00112069,0.01627691
OTU_081_Megasphaera_sp3,0.00656754,0.00102243,0.03283633,0.00303828,0.00237584,0.00510577,0.00210291,0.01008042,0.00573293,0.00162037
OTU_082_Veillonella_sp3,0.00082857,0.01519091,0.0036333,0.00762493,0.00748351,0.01429739,0.00214139,0.0266721,0.00492991,0.0190569
OTU_083_Selenomonas_sp3,0.02118331,0.00356693,0.00299868,0.00466152,0.01291359,0.00315615,0.00435009,0.00707619,0.00685083,0.01260601
OTU_084_Succinivibrio_sp3,0.02494244,0.00211238,0.02584807,0.004588,0.01352683,0.01365136,0.00760271,0.00364498,0.00759988,0.01658872
OTU_085_Fibrobacter_sp3,0.00209988,0.00856167,0.00565793,0.02832519,0.00367514,0.00149686,0.00164234,0.01864412,0.01991396,0.00833798
OTU_086_Treponema_sp3,0.00197682,0.01558042,0.00480762,0.0064218,0.0267084,0.00195151,0.00164855,0.00053362,0.01529917,0.00909879
OTU_087_Butyrivibrio_sp3,0.00093408,0.00851261,0.00026319,0.00544784,0.00080633,0.03779571,0.00737745,0.00417841,0.01567139,0.00559643
OTU_088_Pseudobutyrivibrio_sp3,0.00851364,0.00239977,0.00999115,0.00860756,0.00264832,0.0021881,0.00160779,0.01639931,0.0088504,0.0056158
OTU_089_Acetitomaculum_sp3,0.00308039,0.00630392,0.00391135,0.01592462,0.0203557,0.01304388,0.00279001,0.02469287,0.00751634,0.01298867
OTU_090_Succiniclasticum_sp3,0.02794995,0.01510627,0.0081941,0.00931853,0.00772536,0.00668385,0.01045649,0.00447178,0.00559889,0.00450793
OTU_091_Bacteroides_sp4,0.00547501,0.01791651,0.01111462,0.00678644,0.00530421,0.03549362,0.00639895,0.01250193,0.0198239,0.0062353
OTU_092_Prevotella_sp4,0.00277613,0.00525164,0.00567472,0.00037718,0.00111256,0.0066826,0.00639706,0.00295915,0.03237433,0.00065956
OTU_093_Ruminococcus_sp4,0.00292897,0.0020693,0.00533501,0.01543232,0.004777,0.00881536,0.00561308,0.00044199,0.00144556,0.01011515
OTU_094_Clostridium_sp4,0.00041864,0.00788921,0.00427584,0.01839638,0.00250816,0.00425177,0.00840297,0.00429119,0.00990874,0.00879113
OTU_095_Lactobacillus_sp4,0.00857896,0.00129742,0.04143655,0.02199619,0.00955848,0.01353554,0.00798484,0.01045787,0.01424895,0.00957556
OTU_096_Bifidobacterium_sp4,0.01137359,0.00150185,0.00623356,0.01320267,0.01030741,0.00215985,0.01237122,0.00699596,0.00625152,0.02041972
OTU_097_Streptococcus_sp4,0.01317873,0.02715062,0.00491899,0.00210707,0.0130748,0.00456224,0.01099207,0.00441907,0.00817806,0.019463
OTU_098_Enterococcus_sp4,0.01962149,0.01117038,0.01160828,0.01249084,0.00058009,0.03560184,0.00168698,0.00156227,0.00061183,0.01221972
OTU_099_Escherichia_sp4,0.01878771,0.00992584,0.00176181,0.02358828,0.0146132,0.00551696,0.00742169,0.00904299,0.0079259,0.0109935
OTU_100_Faecalibacterium_sp4,0.00641935,0.00255985,0.00800332,0.00185998,0.00448278,0.01554319,0.01918246,0.01284957,0.00641712,0.00652435
